file_keys,BBC,Blanco,FXive,Farnell,Max,Saksela,,BBC,Blanco,FXive,Farnell,Max,Saksela
5PTXFAXtbUKgS3RSiKpHZ6c5rSyoS2t0,1,0,0.134984026,0.21884984,0.721246006,0.079872204,,"1,","0,","0.134984025559105,","0.218849840255591,","0.721246006389776,","0.0798722044728434,"
0uILqdUmioVKKsVNoNnSzIOwEoPrE9aI,0.756042296,0.035498489,0.108761329,0.295317221,0.836102719,0.598187311,,"0.756042296072507,","0.0354984894259818,","0.108761329305135,","0.295317220543806,","0.836102719033232,","0.598187311178247,"
oj471Fz15kRE1vdtYOdrTofPbDO18Uqq,0.840743735,0.699272433,0.866612773,0.924818108,0.890056589,0.814874697,,"0.84074373484236,","0.699272433306386,","0.86661277283751,","0.924818108326596,","0.890056588520614,","0.814874696847211,"
mENl7OP7jmMjvOG2QM9gNL7Tnwg7dKjb,0.999244713,0.010574018,0.285498489,0.204682779,0.333081571,0.41163142,,"0.999244712990936,","0.0105740181268882,","0.285498489425981,","0.204682779456193,","0.333081570996978,","0.411631419939577,"
wAfocEL9abnv8JLPnG3zgKkZCw1Fn2yn,0.793806647,0.012839879,0.109516616,0.650302115,0.228096677,0.083081571,,"0.793806646525679,","0.0128398791540785,","0.109516616314199,","0.650302114803625,","0.22809667673716,","0.0830815709969788,"
1hEerJuqCwDWkz6Drqy346FiD74oj7mH,1,0,0.105072464,0.828985507,0.189130435,0.911594203,,"1,","0,","0.105072463768115,","0.828985507246376,","0.189130434782608,","0.91159420289855,"
ybaBhC5IZHWVX1xyinkxVtVnMF11r0B5,1,0.180100756,0.254827876,0.405961377,0.513434089,0.262384551,,"1,","0.180100755667506,","0.254827875734676,","0.405961376994122,","0.513434089000839,","0.262384550797649,"
Swx5SIthAINT4lRPfkwmbZaIEIRal0hQ,0.98487395,0.255462185,0.327731092,0.788235294,0.091596639,0.026890756,,"0.984873949579832,","0.255462184873949,","0.327731092436974,","0.788235294117647,","0.0915966386554621,","0.026890756302521,"
Oc3QRlxMk5IHv0j7BuoSlznbhMTYwF85,0.996315402,0,0.445099484,0.473839352,0.13633014,0.459100958,,"0.996315401621223,","0,","0.445099484156226,","0.473839351510685,","0.136330140014738,","0.459100957995578,"
xdowISiNDzpcTewxrvVxVYSt7nmcGzic,0.932130584,0.060137457,0.285223368,0.445017182,0.352233677,0.097079038,,"0.932130584192439,","0.0601374570446735,","0.285223367697594,","0.445017182130584,","0.352233676975945,","0.0970790378006872,"
fPBQbM4Rbxw6Rbi1zI0xYwESNgJvvSqH,0.553163731,0.013046314,0.354859752,0.398564905,0.528375734,0.284409654,,"0.553163731245923,","0.0130463144161774,","0.354859752120026,","0.39856490541422,","0.528375733855185,","0.284409654272667,"
